Input Tracking Number,Match Status,Order ID,Merchant Order No,Tracking Number,Carrier,Factory Status,Begin Time,Finished Time,Ship Time,PDF
9202090383922309753053,已找到,2008110000572806,1000000548857515,9202090383922309753053,手动物流渠道,6,2026-06-25 16:26:09,1782417029632,1782417029632,https://cdn.sdspod.com/pdf/logistics_waybill/5ace54a6e40f483eb8bc562d2ecc8f0a.pdf
9202090383922309679452,已找到,2008110000573129,1000001324203083,9202090383922309679452,手动物流渠道,6,2026-06-25 16:32:34,1782415214643,1782415214643,https://cdn.sdspod.com/pdf/logistics_waybill/1099e7222717e341e52abece2b685908.pdf
9202090383922309754296,已找到,2008110000573091,1000000057393709,9202090383922309754296,手动物流渠道,6,2026-06-25 16:32:30,1782406068442,1782406068442,https://cdn.sdspod.com/pdf/logistics_waybill/b7569820268bf4394771a25ed82f28c1.pdf
9202090383922309672040,已找到,2008110000571916,1000000187680505,9202090383922309672040,手动物流渠道,6,2026-06-24 16:34:11,1782317169335,1782317169335,https://cdn.sdspod.com/pdf/logistics_waybill/a1bf404e357f8540d0302ebb6b957b50.pdf
9202090383922309674846,已找到,2008110000571719,1000000530854959,9202090383922309674846,手动物流渠道,6,2026-06-24 16:26:25,1782318949259,1782318949259,https://cdn.sdspod.com/pdf/logistics_waybill/b3dc247cee42f35a81b3b1796768abce.pdf
9202090383922309652950,已找到,2008110000570096,1000001728237476,9202090383922309652950,手动物流渠道,6,2026-06-23 16:27:02,1782235988778,1782235988778,https://cdn.sdspod.com/pdf/logistics_waybill/7ba2b49c2720e23f0924da56b533c290.pdf
9202090383922309569944,已找到,2008110000570327,1000001461905128,9202090383922309569944,手动物流渠道,6,2026-06-23 16:28:13,1782232833704,1782232833704,https://cdn.sdspod.com/pdf/logistics_waybill/7fec7f7c55345873cbe6152d3b40a1aa.pdf
9200190420634900001073,未找到,,,9200190420634900001073,,,,,,
9200190420634900001141,未找到,,,9200190420634900001141,,,,,,
9202090383922309564802,已找到,2008110000569046,1000000874873697,9202090383922309564802,手动物流渠道,6,2026-06-22 16:18:27,1782153587013,1782153587013,https://cdn.sdspod.com/pdf/logistics_waybill/6ad3f33a42bbf5126555c71662bc185d.pdf
9202090383922309513053,已找到,2008110000568429,1000002134716133,9202090383922309513053,手动物流渠道,6,2026-06-22 16:16:22,1782151140064,1782151140064,https://cdn.sdspod.com/pdf/logistics_waybill/d1bad23de9574e1fcdcfdea22a7c5cbc.pdf
9202090383922309561931,已找到,2008110000568726,1000001183776489,9202090383922309561931,手动物流渠道,6,2026-06-22 16:17:50,1782152112504,1782152112504,https://cdn.sdspod.com/pdf/logistics_waybill/614e981a64889607ea56510d5ad44e81.pdf
9202090569324261734312,未找到,,,9202090569324261734312,,,,,,
9202090383922309454295,已找到,2008110000567112,1000000495829613,9202090383922309454295,手动物流渠道,6,2026-06-20 18:19:05,1781968382919,1781968382919,https://cdn.sdspod.com/pdf/logistics_waybill/c263c83e56791cca94dbb0da476a5290.pdf
9202090383922309376771,已找到,2008110000567054,1000000871228668,9202090383922309376771,手动物流渠道,6,2026-06-20 18:05:08,1781969270333,1781969270333,https://cdn.sdspod.com/pdf/logistics_waybill/af1b3377812d79ce9ddad3c8e8f6549d.pdf
9202090383922309372070,未找到,,,9202090383922309372070,,,,,,
9202091687351775620673,未找到,,,9202091687351775620673,,,,,,
9202090383922309211393,已找到,2008110000564329,1000000548395250,9202090383922309211393,手动物流渠道,6,2026-06-18 16:21:27,1781807457725,1781807457725,https://cdn.sdspod.com/pdf/logistics_waybill/d71c05070f644d882eff4a285060281a.pdf
9202090383922309213182,已找到,2008110000564250,1000000508536061,9202090383922309213182,手动物流渠道,6,2026-06-18 16:21:19,1781815936359,1781815936359,https://cdn.sdspod.com/pdf/logistics_waybill/50de03579e1c264a0c13359038f28905.pdf
9202090383922309214394,已找到,2008110000564224,1000001907999675,9202090383922309214394,手动物流渠道,6,2026-06-18 16:21:16,1781807155589,1781807155589,https://cdn.sdspod.com/pdf/logistics_waybill/8638aeef128c64a6f5953c650133034a.pdf
9200190420145900004280,未找到,,,9200190420145900004280,,,,,,
9200190420183800053434,未找到,,,9200190420183800053434,,,,,,
9202090383922309189647,已找到,2008110000563192,1000001825088539,9202090383922309189647,手动物流渠道,6,2026-06-17 17:19:17,1781712750730,1781712750730,https://cdn.sdspod.com/pdf/logistics_waybill/29d3ed12769ead495d2f6f879c4c53a6.pdf
9202090383922309186561,已找到,2008110000562915,1000001908103162,9202090383922309186561,手动物流渠道,6,2026-06-17 16:42:32,1781710984283,1781710984283,https://cdn.sdspod.com/pdf/logistics_waybill/99cdc0df9e176ff937cc74cb9e1b3b73.pdf
9200190390471823240659,未找到,,,9200190390471823240659,,,,,,
9200190419998800052981,未找到,,,9200190419998800052981,,,,,,
9202090383922309107238,未找到,,,9202090383922309107238,,,,,,
